iter	Passed	Remaining
430	1720	2272
431	1723	2266
432	1731	2266
433	1733	2261
434	1738	2257
435	1741	2252
436	1753	2258
437	1756	2253
438	1763	2253
439	1765	2246
440	1770	2243
441	1778	2244
442	1780	2238
443	1782	2232
444	1785	2226
445	1787	2219
446	1789	2213
447	1791	2207
448	1793	2200
449	1794	2193
450	1796	2187
451	1798	2180
452	1800	2174
453	1802	2167
454	1807	2164
455	1811	2161
456	1814	2155
457	1815	2148
458	1819	2144
459	1821	2138
460	1824	2133
461	1826	2127
462	1828	2120
463	1830	2114
464	1836	2112
465	1839	2107
466	1842	2103
467	1846	2099
468	1853	2098
469	1856	2093
470	1858	2086
471	1859	2080
472	1861	2074
473	1863	2068
474	1866	2063
475	1868	2057
476	1870	2051
477	1873	2045
478	1883	2048
479	1885	2042
480	1887	2036
481	1890	2031
482	1892	2025
483	1895	2021
484	1898	2015
485	1901	2011
486	1904	2006
487	1907	2001
488	1910	1996
489	1913	1991
490	1915	1985
491	1916	1979
492	1920	1974
493	1922	1969
494	1930	1969
495	1932	1963
496	1934	1958
497	1936	1952
498	1938	1946
499	1940	1940
500	1943	1936
501	1946	1931
502	1948	1925
503	1950	1919
504	1951	1913
505	1954	1907
506	1956	1902
507	1959	1897
508	1961	1891
509	1963	1886
510	1966	1881
511	1971	1879
512	1974	1874
513	1975	1868
514	1977	1862
515	1979	1856
516	1981	1850
517	1983	1845
518	1985	1840
519	1988	1835
520	1990	1829
521	1991	1823
522	1994	1819
523	1996	1813
524	1998	1808
525	1999	1802
526	2001	1796
527	2003	1790
528	2004	1784
529	2006	1779
530	2009	1774
531	2011	1769
532	2012	1763
533	2014	1757
534	2017	1753
535	2018	1747
536	2020	1742
537	2023	1738
538	2025	1732
539	2026	1726
540	2028	1721
541	2029	1715
542	2031	1710
543	2033	1704
544	2035	1699
545	2037	1693
546	2038	1688
547	2040	1683
548	2042	1677
549	2043	1672
550	2045	1666
551	2047	1661
552	2049	1656
553	2052	1652
554	2054	1647
555	2056	1642
556	2057	1636
557	2059	1631
558	2061	1626
559	2062	1620
560	2064	1615
561	2066	1610
562	2067	1605
563	2069	1600
564	2071	1594
565	2072	1589
566	2074	1583
567	2076	1579
568	2077	1573
569	2079	1568
570	2081	1563
571	2082	1558
572	2084	1553
573	2086	1548
574	2087	1543
575	2089	1537
576	2090	1532
577	2092	1527
578	2094	1522
579	2095	1517
580	2098	1513
581	2099	1508
582	2101	1502
583	2102	1497
584	2103	1492
585	2105	1487
586	2107	1482
587	2108	1477
588	2110	1472
589	2111	1467
590	2113	1462
591	2115	1457
592	2116	1452
593	2118	1447
594	2120	1443
595	2121	1438
596	2123	1433
597	2124	1428
598	2126	1423
599	2128	1419
600	2130	1414
601	2131	1409
602	2134	1405
603	2135	1400
604	2137	1395
605	2140	1391
606	2142	1387
607	2145	1383
608	2146	1378
609	2148	1373
610	2150	1368
611	2152	1364
612	2154	1360
613	2157	1356
614	2160	1352
615	2163	1348
616	2164	1343
617	2166	1339
618	2168	1334
619	2170	1330
620	2173	1326
621	2179	1324
622	2181	1319
623	2182	1315
624	2184	1310
625	2185	1305
626	2187	1301
627	2188	1296
628	2190	1292
629	2192	1287
630	2194	1283
631	2195	1278
632	2197	1274
633	2200	1270
634	2201	1265
635	2205	1262
636	2207	1257
637	2209	1253
638	2211	1249
639	2214	1245
640	2216	1241
641	2221	1238
642	2223	1234
643	2224	1229
644	2228	1226
645	2231	1222
646	2237	1220
647	2239	1216
648	2241	1212
649	2243	1208
650	2245	1203
651	2247	1199
652	2252	1196
653	2256	1193
654	2258	1189
655	2261	1186
656	2263	1181
657	2268	1178
658	2269	1174
659	2271	1170
660	2273	1165
661	2275	1161
662	2277	1157
663	2285	1156
664	2288	1152
665	2290	1148
666	2292	1144
667	2294	1140
668	2298	1137
669	2300	1132
670	2301	1128
671	2303	1124
672	2305	1119
673	2306	1115
674	2309	1111
675	2315	1109
676	2317	1105
677	2319	1101
678	2320	1097
679	2322	1092
680	2323	1088
681	2325	1084
682	2328	1080
683	2330	1076
684	2332	1072
685	2333	1068
686	2336	1064
687	2338	1060
688	2344	1058
689	2346	1054
690	2349	1050
691	2351	1046
692	2352	1042
693	2354	1038
694	2357	1034
695	2359	1030
696	2360	1026
697	2361	1021
698	2363	1017
699	2365	1013
700	2367	1009
701	2369	1006
702	2371	1002
703	2374	998
704	2376	994
705	2378	990
706	2379	986
707	2381	982
708	2383	978
709	2385	974
710	2387	970
711	2391	967
712	2392	963
713	2394	959
714	2396	955
715	2398	951
716	2400	947
717	2404	944
718	2405	940
719	2409	936
720	2411	933
721	2413	929
722	2415	925
723	2423	923
724	2426	920
725	2429	916
726	2431	912
727	2433	909
728	2436	905
729	2438	901
730	2440	898
731	2442	894
732	2444	890
733	2452	888
734	2455	885
735	2457	881
736	2458	877
737	2461	874
738	2471	872
739	2475	869
740	2477	865
741	2479	862
742	2482	858
743	2484	854
744	2486	851
745	2488	847
746	2490	843
747	2492	839
748	2494	836
749	2497	832
750	2499	828
751	2501	824
752	2503	821
753	2505	817
754	2507	813
755	2510	810
756	2513	806
757	2516	803
758	2518	799
759	2519	795
760	2522	792
761	2529	789
762	2531	786
763	2534	782
764	2535	778
765	2537	775
766	2539	771
767	2541	767
768	2543	763
769	2545	760
770	2547	756
771	2549	752
772	2551	749
773	2553	745
774	2554	741
775	2557	738
776	2560	734
777	2561	731
778	2564	727
779	2566	723
780	2567	719
781	2569	716
782	2571	712
783	2573	709
784	2574	705
785	2576	701
786	2578	697
787	2580	694
788	2582	690
789	2585	687
790	2587	683
791	2589	679
792	2590	676
793	2592	672
794	2593	668
795	2595	665
796	2597	661
797	2599	658
798	2601	654
799	2603	650
800	2605	647
801	2607	643
802	2608	640
803	2610	636
804	2612	632
805	2616	629
806	2619	626
807	2621	623
808	2623	619
809	2625	615
810	2628	612
811	2631	609
812	2634	606
813	2650	605
814	2652	602
815	2654	598
816	2656	594
817	2658	591
818	2660	587
819	2662	584
820	2664	580
821	2666	577
822	2668	573
823	2669	570
824	2671	566
825	2673	563
826	2679	560
827	2682	557
828	2683	553
829	2685	550
830	2687	546
831	2689	543
832	2692	539
833	2694	536
834	2696	532
835	2699	529
836	2701	526
837	2703	522
838	2705	519
839	2707	515
840	2710	512
841	2712	509
842	2714	505
843	2716	502
844	2718	498
845	2720	495
846	2721	491
847	2724	488
848	2726	484
849	2728	481
850	2729	477
851	2732	474
852	2734	471
853	2735	467
854	2738	464
855	2740	461
856	2744	457
857	2746	454
858	2749	451
859	2755	448
860	2758	445
861	2760	442
862	2763	438
863	2765	435
864	2767	431
865	2770	428
866	2772	425
867	2774	421
868	2776	418
869	2778	415
870	2779	411
871	2782	408
872	2785	405
873	2787	401
874	2789	398
875	2792	395
876	2794	391
877	2796	388
878	2799	385
879	2802	382
880	2816	380
881	2819	377
882	2821	373
883	2823	370
884	2825	367
885	2830	364
886	2833	361
887	2836	357
888	2838	354
889	2841	351
890	2848	348
891	2851	345
892	2853	341
893	2856	338
894	2857	335
895	2863	332
896	2864	328
897	2866	325
898	2868	322
899	2870	318
900	2872	315
901	2876	312
902	2879	309
903	2881	306
904	2883	302
905	2885	299
906	2896	296
907	2899	293
908	2901	290
909	2903	287
910	2905	283
911	2908	280
912	2910	277
913	2912	274
914	2914	270
915	2916	267
916	2918	264
917	2921	260
918	2925	257
919	2927	254
920	2929	251
921	2930	247
922	2933	244
923	2935	241
924	2941	238
925	2944	235
926	2946	232
927	2951	228
928	2958	226
929	2960	222
930	2963	219
931	2966	216
932	2969	213
933	2972	210
934	2975	206
935	2977	203
936	2980	200
937	2982	197
938	2985	193
939	2988	190
940	2991	187
941	2993	184
942	2995	181
943	2998	177
944	3001	174
945	3003	171
946	3005	168
947	3007	164
948	3011	161
949	3014	158
950	3017	155
951	3019	152
952	3021	149
953	3023	145
954	3025	142
955	3027	139
956	3030	136
957	3032	132
958	3035	129
959	3037	126
960	3039	123
961	3041	120
962	3043	116
963	3045	113
964	3048	110
965	3049	107
966	3051	104
967	3053	100
968	3055	97
969	3057	94
970	3058	91
971	3063	88
972	3066	85
973	3069	81
974	3071	78
975	3073	75
976	3075	72
977	3077	69
978	3079	66
979	3081	62
980	3083	59
981	3085	56
982	3087	53
983	3089	50
984	3091	47
985	3093	43
986	3095	40
987	3097	37
988	3100	34
989	3102	31
990	3104	28
991	3108	25
992	3110	21
993	3112	18
994	3115	15
995	3117	12
996	3119	9
997	3122	6
998	3124	3
999	3127	0
